timestamp,open,high,low,close,volume,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,EMA_20
2026-04-13 00:00:00,70741.56,70916.96,70615.3,70916.18,153.04254,,,,,,,
2026-04-13 00:15:00,70916.18,71089.6,70831.13,70982.39,175.67721,100.0,,,,,,
2026-04-13 00:30:00,70982.39,71129.31,70954.72,71063.99,134.62938,100.0,,,,,,
2026-04-13 00:45:00,71064.0,71262.63,71019.48,71172.62,83.39071,100.0,,,,,,
2026-04-13 01:00:00,71172.63,71227.28,71098.28,71132.95,241.70528,95.83761755569849,,,,,,
2026-04-13 01:15:00,71132.95,71166.69,71055.9,71100.72,355.8705,92.46997858465944,,,,,,
2026-04-13 01:30:00,71100.71,71201.56,71027.26,71147.76,75.51973,92.8640999399796,,,,,,
2026-04-13 01:45:00,71147.77,71225.5,71119.42,71197.64,47.18303,93.26655281075233,,,,,,
2026-04-13 02:00:00,71197.64,71258.72,70986.71,71001.38,62.01626,75.27705887690199,,,,,,
2026-04-13 02:15:00,71001.38,71259.57,71001.38,71223.66,72.60698,79.98562198979941,,,,,,
2026-04-13 02:30:00,71223.67,71271.78,71038.49,71042.64,75.2563,68.53765522979702,,,,,,
2026-04-13 02:45:00,71042.63,71081.12,70994.99,71073.14,60.83318,69.334054324277,,,,,,
2026-04-13 03:00:00,71073.14,71118.71,70992.53,71056.97,132.15426,68.34629864459937,,,,,,
2026-04-13 03:15:00,71056.97,71155.42,71000.0,71029.55,93.28912,66.61326974551652,,,,,,
2026-04-13 03:30:00,71029.55,71056.28,70917.27,70973.43,69.86667,63.08738412090454,,,,,,
2026-04-13 03:45:00,70973.43,71000.0,70929.14,70976.0,53.60605,63.183490060612385,,,,,,
2026-04-13 04:00:00,70975.99,71000.0,70907.28,70951.74,72.56243,61.554283891370815,,,,,,
2026-04-13 04:15:00,70951.74,71043.87,70914.68,71029.98,116.19168,64.71433074738522,,,,,,
2026-04-13 04:30:00,71029.97,71144.0,71023.5,71023.5,274.20237,64.24334844991802,,,,,,
2026-04-13 04:45:00,71023.5,71023.51,70854.29,70890.3,121.5166,55.32933168660752,70865.97328144083,71049.327,71232.68071855918,0.5161307680202808,0.0663382197817766,71049.327
2026-04-13 05:00:00,70890.3,70920.0,70787.86,70823.44,201.75363,51.468890711985296,70843.34972149774,71044.69,71246.03027850226,0.5667989500756851,-0.0494429670154489,71027.81395238095
2026-04-13 05:15:00,70823.45,70871.77,70766.4,70860.01,84.43824,53.38470412128244,70822.36854566855,71038.57100000001,71254.77345433147,0.6086903249544867,0.08705140385163576,71011.83262358277
2026-04-13 05:30:00,70860.01,70860.01,70672.72,70747.21,131.52844,47.19590821230485,70770.89276167104,71022.732,71274.57123832896,0.7091792479313836,-0.04701960232285347,70986.63046895585
2026-04-13 05:45:00,70747.21,70889.24,70747.21,70878.82,115.74914,53.90963874264385,70758.75350151301,71008.042,71257.33049848699,0.7021415926015502,0.24081836750535282,70976.36280524576
2026-04-13 06:00:00,70878.82,71010.66,70878.82,71000.37,161.1389,59.08382558544347,70759.15799437251,71001.41300000002,71243.66800562752,0.6823948859370073,0.4978473097030172,70978.64920474617
2026-04-13 06:15:00,71000.36,71070.0,70980.18,71017.97,198.88242,59.78776071868479,70759.3743959584,70997.2755,71235.17660404161,0.6701696716280557,0.5434939133287469,70982.39404238938
2026-04-13 06:30:00,71017.96,71046.78,70998.46,71046.77,136.94636,60.97104487088343,70763.67006904492,70992.22600000001,71220.7819309551,0.6438900252404766,0.6193230903526902,70988.52508597134
2026-04-13 06:45:00,71046.78,71106.54,71017.56,71017.66,200.0515,59.07871758968937,70775.50149720971,70983.22700000001,71190.95250279031,0.5852805277232636,0.5828810125320772,70991.29983968836
2026-04-13 07:00:00,71017.66,71067.91,70888.0,70896.13,95.1877,51.844358034181056,70766.86989447166,70977.9645,71189.05910552834,0.5948172986232708,0.3061662926080555,70982.23604543234
2026-04-13 07:15:00,70896.12,70906.68,70686.03,70704.0,166.94424,42.900451341759045,70740.29535095904,70951.98150000001,71163.66764904097,0.5967025714171623,-0.08572915876517874,70955.73737443877
2026-04-13 07:30:00,70704.0,70810.23,70685.25,70778.76,311.49892,46.7499533001966,70718.18666315709,70938.78749999999,71159.3883368429,0.6219470183160459,0.13729172044356905,70938.88238639699
2026-04-13 07:45:00,70778.76,70841.43,70762.92,70813.88,285.50892,48.506243752213784,70708.01339608557,70925.8245,71143.63560391443,0.6141940695082869,0.2430238909124261,70926.97739721632
2026-04-13 08:00:00,70813.88,70861.01,70707.27,70730.55,51.67915,44.73603501973861,70684.27685249038,70909.50349999999,71134.7301475096,0.635250950557315,0.10272573876421054,70908.27002605287
2026-04-13 08:15:00,70730.55,70822.34,70651.3,70761.0,84.64632,46.37623078378965,70668.97081904448,70896.076,71123.18118095552,0.6406706654837175,0.20261356559176033,70894.24430928593
2026-04-13 08:30:00,70761.01,70761.01,70592.53,70600.01,115.51812,39.672197135440165,70617.9769101765,70877.405,71136.8330898235,0.7320473705929303,-0.03462791979990792,70866.22199411584
2026-04-13 08:45:00,70600.01,70697.6,70566.99,70680.7,82.28159,44.03870261736085,70593.41080239676,70862.64000000001,71131.86919760327,0.7598621716697471,0.1621094561442627,70848.55323277148
2026-04-13 09:00:00,70680.7,70910.68,70680.7,70715.54,114.80444,45.86079945245183,70577.36844992684,70850.83,71124.29155007316,0.7719360523318068,0.25263432836569943,70835.88530584086
2026-04-13 09:15:00,70715.54,70816.99,70678.0,70789.38,68.91314,49.60588487584623,70577.62945519513,70838.8,71099.97054480488,0.7373658074526226,0.40538749299443216,70831.45622909411
2026-04-13 09:30:00,70789.38,70832.19,70760.01,70789.41,46.22568,49.6074100899731,70580.18484933976,70827.0955,71074.00615066024,0.697220883948969,0.4236859570471725,70827.45182632325
2026-04-13 09:45:00,70789.4,70807.96,70749.99,70792.88,20.64105,49.79667772564724,70576.72415655723,70822.2245,71067.72484344276,0.6932861687866457,0.4402353178238355,70824.15927143532
2026-04-13 10:00:00,70792.89,70846.9,70762.43,70820.72,36.80478,51.374641164292505,70576.58797812043,70822.08850000001,71067.5890218796,0.6932880040090457,0.49721283688210927,70823.83172177481
2026-04-13 10:15:00,70820.72,70820.72,70718.0,70768.58,54.88104,48.311934620757924,70571.58502317462,70817.51700000002,71063.44897682543,0.6945512558013188,0.40050704135403753,70818.56965303436
2026-04-13 10:30:00,70768.59,70835.11,70688.28,70771.83,50.22764,48.51795462675278,70574.05443338853,70818.748,71063.44156661148,0.6910417750154894,0.4041290691665344,70814.11825750727
2026-04-13 10:45:00,70771.83,70805.76,70709.63,70755.88,36.08285,47.516964447822865,70568.08472118342,70812.601,71057.11727881657,0.6906010381304205,0.3840138573298433,70808.5717567923
2026-04-13 11:00:00,70755.89,70875.24,70736.29,70870.78,60.67317,54.75817926935192,70576.11833267401,70806.12150000001,71036.124667326,0.6496702896683716,0.6405600208721188,70814.49635138351
2026-04-13 11:15:00,70870.79,70906.67,70842.48,70866.32,45.64798,54.44416934440486,70588.83941187707,70798.53900000002,71008.23858812297,0.5923839420555055,0.6616145282084349,70819.43193696604
2026-04-13 11:30:00,70866.32,70950.0,70806.22,70936.04,75.71566,58.45488223045119,70606.3133714157,70793.0025,70979.6916285843,0.5274225474030465,0.8830900628351301,70830.5374667788
2026-04-13 11:45:00,70936.03,70997.12,70915.2,70929.68,78.30218,57.953645619548944,70621.03659668897,70788.6035,70956.17040331103,0.473429040907783,0.920955741296163,70839.97961279987
2026-04-13 12:00:00,70929.68,71061.21,70841.35,70965.7,128.38723,60.0433385116766,70612.6484518137,70792.082,70971.51554818629,0.5069311231340661,0.983794702147186,70851.95298300941
2026-04-13 12:15:00,70965.69,70993.77,70862.06,70862.06,61.82335,52.030594208469395,70622.97936518042,70799.985,70976.99063481958,0.5000160235050316,0.6753475251318121,70852.91555605613
2026-04-13 12:30:00,70862.07,70905.56,70758.5,70836.58,106.48371,50.254965594318186,70625.44179521594,70802.876,70980.31020478407,0.5012062074542335,0.5949760505338184,70851.3597888127
2026-04-13 12:45:00,70836.58,71219.8,70836.57,71074.91,163.43471,62.980758209594256,70600.70749653969,70815.9275,71031.14750346032,0.6078293713241717,1.1016692125175809,70872.65028511625
2026-04-13 13:00:00,71074.92,71200.0,71071.85,71199.99,117.47554,67.65711562543295,70568.25598480832,70839.39950000001,71110.54301519171,0.7655161311515514,1.1649439868496527,70903.82549605756
2026-04-13 13:15:00,71200.0,71267.74,71111.95,71185.04,182.99161,66.57461821626511,70551.59810868667,70860.60149999999,71169.60489131331,0.8721444209398166,1.0249756299131196,70930.60782976636
2026-04-13 13:30:00,71185.04,71227.08,70818.57,71038.44,324.76665,56.95187542321773,70589.56988206225,70882.523,71175.47611793775,0.8265877272392006,0.7661125457506333,70940.87756026481
2026-04-13 13:45:00,71038.43,71700.82,70953.29,71662.65,919.51075,74.11080459332678,70489.78066550531,70931.62049999999,71373.46033449467,1.2458190899351478,1.327256216991015,71009.61779262054
2026-04-13 14:00:00,71662.65,71768.0,71454.84,71622.24,336.57127,72.10699633238191,70450.50445190433,70976.95549999998,71503.40654809563,1.4834421803162647,1.1128627745487742,71067.96276475192
2026-04-13 14:15:00,71622.25,71740.0,71375.24,71639.99,582.10254,72.4592412420742,70423.93774925607,71019.486,71615.03425074393,1.6771404139532355,1.020951912145571,71122.44154906126
2026-04-13 14:30:00,71640.0,72000.0,71600.0,71989.14,474.49157,78.27184443604683,70353.98965165913,71079.4725,71804.95534834088,2.041328734792955,1.126939356375091,71204.98425867446
2026-04-13 14:45:00,71989.13,72401.0,71866.95,72400.15,705.07236,82.85827084518047,70238.40308492412,71159.83599999998,72081.26891507584,2.589755589307027,1.17303543193804,71318.80956737214
2026-04-13 15:00:00,72400.15,72464.28,71912.96,71951.39,469.12863,66.38232180408487,70245.14447087498,71216.36949999999,72187.594529125,2.727533110558267,0.8783986604331047,71379.05532286051
2026-04-13 15:15:00,71951.4,72017.19,71850.94,71955.68,228.42944,66.45100049107698,70275.07470792596,71275.7245,72276.37429207403,2.807827767710833,0.8397569786082,71433.97195877855
2026-04-13 15:30:00,71955.67,71955.67,71652.65,71837.57,474.09672,62.65584214798714,70327.83896198538,71329.01150000001,72330.18403801463,2.8071958855468604,0.7539814470982678,71472.40986746631
2026-04-13 15:45:00,71837.56,71931.19,71728.08,71866.59,170.68301,63.21178798053856,70394.06888750562,71384.54699999999,72375.02511249436,2.775049094293109,0.7433385422248517,71509.95083246952
2026-04-13 16:00:00,71866.59,72044.16,71679.8,72030.33,261.19403,66.26355378580831,70442.9641675491,71442.5245,72442.0848324509,2.798222317720308,0.7940320263403793,71559.51075318671
2026-04-13 16:15:00,72030.33,72270.0,71922.0,72244.41,282.011,69.79190532732287,70489.36955138613,71511.429,72533.48844861388,2.858450636230112,0.8585804137881001,71624.73925288321
2026-04-13 16:30:00,72244.42,72370.0,72166.06,72301.56,626.14498,70.67367465321735,70537.25056270721,71579.70499999999,72622.15943729276,2.9127095097493845,0.8462285612571452,71689.19837165624
2026-04-13 16:45:00,72301.56,72437.25,72066.89,72202.36,344.84403,67.01691668048802,70612.64587756872,71643.339,72674.0321224313,2.877289464220216,0.7711869264642647,71738.07090768898
2026-04-13 17:00:00,72202.37,72433.33,72137.96,72300.39,417.06871,68.73832088305016,70691.35283507356,71710.0735,72728.79416492644,2.8412205292926966,0.7897342325153609,71791.6251069567
2026-04-13 17:15:00,72300.38,72444.18,72278.93,72444.17,407.76679,71.11913740326864,70802.51762365324,71789.17899999999,72775.84037634674,2.7487746484654654,0.831922894572607,71853.77223962748
2026-04-13 17:30:00,72444.18,72600.0,72378.8,72444.15,383.28396,71.11832604745551,70950.0088371655,71869.55750000001,72789.10616283452,2.5589378725046683,0.8124318066152162,71909.99869299629
2026-04-13 17:45:00,72444.15,72500.0,72069.01,72148.87,445.52777,60.19885029163461,71076.54824305282,71923.25550000001,72769.9627569472,2.354474226899234,0.633230522207543,71932.74834128236
2026-04-13 18:00:00,72148.87,72216.93,72077.59,72191.22,329.61768,61.120871373380325,71190.7949590913,71972.81700000001,72754.83904090872,2.173103884230917,0.6396399260986354,71957.36468973166
2026-04-13 18:15:00,72191.22,72274.0,72053.78,72173.37,319.31127,60.48486504222223,71330.06804383657,72022.2335,72714.39895616344,1.9220882844835268,0.6091765694561813,71977.93662404294
2026-04-13 18:30:00,72173.37,72421.94,72173.36,72334.19,180.25375,64.10854237004719,71559.62209115775,72087.02100000001,72614.41990884226,1.4632284744912765,0.73432831947129,72011.86551699122
2026-04-13 18:45:00,72334.19,72460.42,72306.33,72424.86,136.77669,66.00155431047693,71617.04802508194,72125.13150000002,72633.2149749181,1.4088944154454106,0.7949598981233442,72051.19832489682
2026-04-13 19:00:00,72424.86,72428.85,72298.93,72318.67,123.57831,61.88483565580752,71704.22606513476,72159.953,72615.67993486523,1.2631020834097093,0.6741360756380788,72076.67181776378
2026-04-13 19:15:00,72318.67,72908.0,72318.67,72853.59,861.55707,71.52112367854428,71734.2623476613,72220.633,72707.00365233871,1.3469022137723665,1.1506940714416338,72150.6640255958
2026-04-13 19:30:00,72853.6,73200.22,72829.98,73015.75,1073.17913,73.6924817115356,71682.66086405913,72271.96350000001,72861.2661359409,1.630791824110004,1.131073454145046,72233.05316601525
2026-04-13 19:45:00,73015.75,73480.0,73015.75,73322.82,574.63614,77.23247718935322,71564.8765188494,72318.09700000001,73071.31748115062,2.083076055363041,1.1669514605240139,72336.84048353761
2026-04-13 20:00:00,73322.0,73394.37,73040.36,73060.0,374.63672,68.71030319967461,71572.29615502986,72373.5275,73174.75884497013,2.2141558457825132,0.928385948895692,72405.7128184388
2026-04-13 20:15:00,73060.0,73161.18,73007.08,73097.0,275.75494,69.22514575004766,71592.92118853179,72430.59350000002,73268.26581146824,2.3130345092870854,0.897772787088989,72471.5496928732
